name,score
[thread],3264.0000000000005
[cord],2039.9999999999998
[Japanese paper (handmade paper)],708.0
"[Book (Bodleian, Arch.F.b.3)]",648.5000000000001
"[Book (Bodleian, Arch.B.c.4)]",581.2916666666667
"[Book (Bodleian, Inc.d.f2.1494.2)]",581.1666666666666
[paper],580.0
"[Book (Bodleian, AA 106 Art)]",564.6666666666667
"[Book (Bodleian, C 8 22 Line?)]",555.4761904761905
"[Book (Bodleian, Vet.Al.d.39)]",519.5476190476192
"[Book (Bodleian, Arch A f 134)]",481.17857142857144
"[Book (Bodleian, Ms.Douce.88)]",475.6
"[Book (Bodleian, Ms.BOM.187)]",457.41666666666663
"[Book (Bodleian, Ms Digby 44)]",396.1666666666667
"[Book (Bodleian, 23197 d1)]",362.8857142857143
"[Head endband (Bodleian, Arch.F.b.3)]",337.7500000000001
"[Book (Bodleian, Vet.256e.15182)]",336.1166666666667
"[Cover (Bodleian, Inc.d.f2.1494.2)]",328.49999999999994
"[Book (Bodleian, Ms. Auct. D.4.17)]",327.9
"[Book (Bodleian, Bliss B4)]",324.6166666666667
"[Book (Bodleian, 8vo S 188 Art)]",302.9166666666667
"[Book (Bodleian, 6062)]",285.80357142857144
"[Book (Bodleian, Ms.Add.A.105)]",282.3333333333333
"[Book (Bodleian, Ms. Auct. F.1.14)]",267.56666666666666
"[Bookblock (Bodleian, Arch A f 134)]",251.30952380952374
"[Book (Bodleian, G.Pamph.1670)]",240.91071428571428
"[Cover (Bodleian, Arch A f 134)]",232.547619047619
"[Book (Bodleian, G.Pamph.2589)]",230.91904761904766
"[Bookblock (Bodleian, Arch.F.b.3)]",230.0333333333333
"[Cover (Bodleian, AA 106 Art)]",228.41666666666669
"[Book (Bodleian, G.Pamph.2376)]",221.45238095238096
"[Sewing structure (Bodleian, Vet.Al.d.39)]",218.0
"[Book (Bodleian, MS. e Mus. 65)]",217.18333333333328
"[Left endleaves (Bodleian, G.Pamph.1670)]",208.8
"[Cover (Bodleian, Arch.B.c.4)]",206.20000000000005
[Solution material: water],205.49999999999997
"[Book (Bodleian, Ms. Clas. Dep. C.43)]",199.5
"[Sewing supports (Bodleian, Vet.Al.d.39)]",192.0
"[Bookblock (Bodleian, Ms.BOM.187)]",188.75
"[Book (Bodleian, Dance E 44)]",181.96666666666667
"[Sewing structure (Bodleian, Arch.B.c.4)]",179.49999999999997
"[Bookblock (Bodleian, Ms Digby 44)]",178.5
"[Left board (Bodleian, C 8 22 Line?)]",174.07142857142856
"[Bookblock (Bodleian, AA 106 Art)]",172.08333333333337
"[Right endleaves (Bodleian, Arch.F.b.3)]",164.83333333333331
"[Pastedowns (Bodleian, Arch.F.b.3)]",164.0
"[Conservation assessment (Bodleian, Arch.F.b.3)]",159.00000000000003
"[Tail endband (Bodleian, Ms. Auct. F.1.14)]",156.01666666666665
"[Bookblock (Bodleian, Arch.B.c.4)]",153.29166666666666
[Solution material: IMS],151.37500000000003
[braid],147.0
"[Bookblock (Bodleian, C 8 22 Line?)]",146.58333333333334
"[Sewing structure (Bodleian, Vet.256e.15182)]",144.0
"[Bookblock (Bodleian, Ms. Auct. D.4.17)]",143.66666666666666
"[Bookblock (Bodleian, G.Pamph.1670)]",141.11666666666665
[machine-made paper],138.0
"[Conservation assessment (Bodleian, Inc.d.f2.1494.2)]",135.0
"[Conservation assessment (Bodleian, Arch.B.c.4)]",134.0
"[Sewing structure (Bodleian, 8vo S 188 Art)]",133.49999999999997
"[Conservation assessment (Bodleian, AA 106 Art)]",133.0
"[Textblock (Bodleian, Inc.d.f2.1494.2)]",133.0
"[Left endleaves (Bodleian, Arch.F.b.3)]",132.33333333333334
"[Textblock (Bodleian, Arch A f 134)]",132.33333333333331
"[Left-section (Bodleian, AA 106 Art)]",131.5034461152882
"[Conservation assessment (Bodleian, C 8 22 Line?)]",130.0
"[Thread (Bodleian, Arch.F.b.3)]",128.00000000000006
"[Cover (Bodleian, Ms.BOM.187)]",127.25
"[Sewing structure (Bodleian, 23197 d1)]",126.5333333333333
"[Sewing structure (Bodleian, Ms.Douce.88)]",126.0
[Oxford (place)],125.0
"[Cover (Bodleian, Arch.F.b.3)]",124.86666666666666
"[Previous repairs (Bodleian, C 8 22 Line?)]",124.83333333333334
"[Bookblock (Bodleian, Inc.d.f2.1494.2)]",124.0
"[Right-section (Bodleian, AA 106 Art)]",120.48840852130326
"[Conservation assessment (Bodleian, Vet.Al.d.39)]",120.00000000000001
"[Sewing supports (Bodleian, Ms.Douce.88)]",119.0
"[Cover (Bodleian, C 8 22 Line?)]",116.83333333333331
"[Conservation assessment (Bodleian, Arch A f 134)]",115.99999999999999
"[Previous repairs (Bodleian, AA 106 Art)]",115.82581453634083
"[Sewing structure (Bodleian, Ms Digby 44)]",115.0
"[Sewing structure (Bodleian, Ms. Clas. Dep. C.43)]",115.0
"[Slips (Bodleian, Ms.BOM.187)]",112.00000000000007
"[Bookblock (Bodleian, Bliss B4)]",110.78333333333333
"[Sewing supports (Bodleian, Bliss B4)]",108.0
"[Conservation assessment (Bodleian, 23197 d1)]",106.0
"[Conservation assessment (Bodleian, Ms.Douce.88)]",106.0
"[Conservation assessment (Bodleian, Ms Digby 44)]",105.0
"[Cover (Bodleian, Vet.Al.d.39)]",104.83333333333333
"[Thread-place (Bodleian, Arch.F.b.3)]",104.00000000000006
"[Thread-place (Bodleian, Arch.F.b.3)]",104.00000000000006
"[Left endleaves (Bodleian, Arch.B.c.4)]",102.51556776556775
"[Conservation assessment (Bodleian, Ms.BOM.187)]",102.0
"[Sewing supports (Bodleian, Ms.Add.A.105)]",102.0
"[Left board (Bodleian, MS. e Mus. 65)]",101.54166666666667
"[Sewing structure (Bodleian, Bliss B4)]",100.0
"[Bookblock (Bodleian, Vet.Al.d.39)]",99.08333333333333
"[Right endleaves (Bodleian, Arch.B.c.4)]",98.33012820512819
"[Conservation assessment (Bodleian, Vet.256e.15182)]",98.0
"[Bookblock (Bodleian, Ms.Add.A.105)]",97.66666666666667
"[Bookblock (Bodleian, 8vo S 188 Art)]",97.0
"[Conservation assessment (Bodleian, Ms. Auct. D.4.17)]",97.0
"[Bookblock (Bodleian, MS. e Mus. 65)]",96.56666666666666
"[Sewing structure (Bodleian, G.Pamph.2376)]",96.0
"[Textblock (Bodleian, Ms. Auct. D.4.17)]",96.0
"[Cover (Bodleian, 23197 d1)]",96.0
"[Sewing structure (Bodleian, Ms.Add.A.105)]",95.0
"[Textblock (Bodleian, Ms.Add.A.105)]",95.0
"[Cover (Bodleian, Ms. Auct. D.4.17)]",95.0
"[Textblock (Bodleian, Vet.Al.d.39)]",93.57142857142857
"[Sewing structure (Bodleian, AA 106 Art)]",93.0
"[Covering material (Bodleian, AA 106 Art)]",93.0
"[Bookblock (Bodleian, Ms.Douce.88)]",92.30833333333335
"[Conservation assessment (Bodleian, 8vo S 188 Art)]",92.0
"[Cover (Bodleian, Ms.Douce.88)]",91.86666666666665
"[Bookblock (Bodleian, Vet.256e.15182)]",91.5
"[Sewing structure (Bodleian, Ms.BOM.187)]",89.16666666666667
"[Conservation assessment (Bodleian, Bliss B4)]",88.99999999999999
"[Bookblock (Bodleian, 23197 d1)]",88.08333333333334
"[Cover (Bodleian, Ms Digby 44)]",88.0
"[Textblock (Bodleian, Ms.BOM.187)]",88.0
"[Sewing structure (Bodleian, G.Pamph.2589)]",87.99999999999997
"[Conservation assessment (Bodleian, G.Pamph.2589)]",87.00000000000001
"[Spine-section (Bodleian, Ms Digby 44)]",87.0
"[Sewing structure (Bodleian, C 8 22 Line?)]",85.83333333333334
"[Conservation assessment (Bodleian, 6062)]",84.00000000000001
"[Spine-section (Bodleian, AA 106 Art)]",83.75814536340853
"[Conservation assessment (Bodleian, G.Pamph.2376)]",83.0
"[Conservation assessment (Bodleian, Ms. Clas. Dep. C.43)]",81.0
"[Conservation assessment (Bodleian, Ms.Add.A.105)]",81.0
"[Bookblock (Bodleian, 6062)]",79.925
[parchment],79.0
"[Textblock (Bodleian, C 8 22 Line?)]",78.83333333333333
"[Conservation assessment (Bodleian, Ms. Auct. F.1.14)]",78.0
"[Left-section (Bodleian, Inc.d.f2.1494.2)]",78.0
"[Conservation assessment (Bodleian, G.Pamph.1670)]",74.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",72.00000000000003
"[Conservation assessment (Bodleian, Dance E 44)]",69.0
"[Conservation assessment (Bodleian, MS. e Mus. 65)]",68.99999999999999
"[Cover (Bodleian, Ms. Auct. F.1.14)]",68.9
"[Cover (Bodleian, Vet.256e.15182)]",68.33333333333333
"[Textblock (Bodleian, 23197 d1)]",67.4
"[Spine lining (Bodleian, Ms.Douce.88)]",67.2
"[Sewing structure (Bodleian, Ms. Auct. D.4.17)]",66.0
"[Sewing structure (Bodleian, Inc.d.f2.1494.2)]",65.99999999999999
"[Tail endband (Bodleian, Inc.d.f2.1494.2)]",65.41666666666667
"[Head endband (Bodleian, Inc.d.f2.1494.2)]",65.41666666666667
"[Bookblock (Bodleian, Ms. Clas. Dep. C.43)]",65.25
[Material dimensional specification],65.0
"[Left board (Bodleian, G.Pamph.1670)]",64.00595238095238
"[Addition to Bodleian, Arch A f 134]",63.500000000000036
"[Modification of Bodleian, Ms. Auct. F.1.14]",62.45000000000003
"[Modification of Bodleian, Arch.F.b.3]",62.000000000000036
"[Cover (Bodleian, G.Pamph.2589)]",62.0
"[Left board (Bodleian, Ms.Add.A.105)]",61.833333333333336
"[Core (endband) (Bodleian, Inc.d.f2.1494.2)]",61.0
"[Core (endband) (Bodleian, Inc.d.f2.1494.2)]",61.0
"[Modification of Bodleian, Ms.BOM.187]",59.83333333333337
"[Right board (Bodleian, MS. e Mus. 65)]",59.125
"[Left board (Bodleian, G.Pamph.2376)]",58.214285714285715
"[Cover (Bodleian, Ms.Add.A.105)]",58.0
"[Modification of Bodleian, G.Pamph.1670]",57.06785714285718
"[Addition to Bodleian, G.Pamph.2376]",56.1666666666667
"[Left endleaves (Bodleian, Bliss B4)]",55.75
"[Left endleaves (Bodleian, Arch A f 134)]",55.60714285714286
"[Right endleaves (Bodleian, Arch A f 134)]",55.60714285714286
"[Addition to Bodleian, G.Pamph.2589]",55.1666666666667
"[Left endleaves (Bodleian, Ms Digby 44)]",55.000000000000014
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",54.83333333333337
"[Textblock (Bodleian, Vet.256e.15182)]",54.0
"[Head endband (Bodleian, Vet.Al.d.39)]",53.99999999999999
"[Tail endband (Bodleian, Vet.Al.d.39)]",53.99999999999999
"[Left board (Bodleian, 23197 d1)]",53.42857142857143
"[Textblock (Bodleian, G.Pamph.1670)]",53.375
"[Sewing structure (Bodleian, Arch A f 134)]",53.03333333333334
"[Textblock (Bodleian, 6062)]",52.0
"[Textblock (Bodleian, Ms Digby 44)]",51.99999999999999
"[Right board (Bodleian, C 8 22 Line?)]",51.16666666666667
"[Right board (Bodleian, 23197 d1)]",50.42857142857143
"[Right board (Bodleian, Vet.Al.d.39)]",49.83333333333332
"[Outer joints (Bodleian, G.Pamph.1670)]",49.5
"[Bookblock (Bodleian, Ms. Auct. F.1.14)]",48.416666666666664
"[Modification of Bodleian, MS. e Mus. 65]",46.852777777777774
"[Right-section (Bodleian, Inc.d.f2.1494.2)]",46.0
"[Tail endband (Bodleian, AA 106 Art)]",45.833333333333336
"[Head endband (Bodleian, AA 106 Art)]",45.833333333333336
"[Spine lining (Bodleian, C 8 22 Line?)]",45.833333333333336
"[Bookblock (Bodleian, G.Pamph.2589)]",45.66666666666667
