name,score
"[Book (Library of Congress, 1657_001)]",225.66666666666666
"[Book (Library of Congress, 3027)]",196.58333333333334
"[Book (Library of Congress, 4357_005_001)]",192.06666666666666
"[Book (Library of Congress, 3968)]",190.16666666666666
"[Book (Library of Congress, 4388_101_01)]",189.5
"[Book (Library of Congress, 3967)]",185.5
"[Book (Library of Congress, 3995)]",185.0857142857143
"[Book (Library of Congress, 4240)]",183.0
"[Book (Library of Congress, 3494)]",182.25
"[Book (Library of Congress, 3966)]",179.5
"[Washington, D.C. (place)]",179.0
"[Book (Library of Congress, 3929)]",175.4
"[Book (Library of Congress, 4341)]",174.5
"[Book (Library of Congress, 4347_3)]",172.66666666666669
"[Book (Library of Congress, 4165)]",172.4
"[Book (Library of Congress, 4247)]",172.38888888888889
"[Book (Library of Congress, 4265)]",172.08333333333334
"[Book (Library of Congress, 3928)]",171.88888888888889
"[Book (Library of Congress, 2966)]",170.33333333333334
"[Book (Library of Congress, 1697)]",168.5
"[Book (Library of Congress, 2247)]",167.66666666666669
"[Book (Library of Congress, 3927)]",166.08333333333334
"[Book (Library of Congress, 529)]",156.42857142857144
"[Book (Library of Congress, 4318_003)]",152.91666666666669
"[Book (Library of Congress, 4318_001)]",152.91666666666666
"[Book (Library of Congress, 4318_002)]",152.91666666666666
"[Book (Library of Congress, 3824)]",152.76666666666665
"[Book (Library of Congress, 2687)]",149.56666666666666
"[Book (Library of Congress, 4164)]",144.0
"[Book (Library of Congress, 4053)]",143.48333333333332
"[Book (Library of Congress, 3674)]",140.5
"[Bookblock (Library of Congress, 1657_001)]",140.0
"[Book (Library of Congress, 2561)]",138.0
"[Book (Library of Congress, 4380)]",132.33333333333331
"[Book (Library of Congress, 4318_006)]",122.25
"[Cover (Library of Congress, 3929)]",121.0
"[Book (Library of Congress, 4539_003)]",117.66666666666666
"[Textblock (Library of Congress, 1657_001)]",117.0
"[Book (Library of Congress, 3819)]",117.0
"[Book (Library of Congress, 3994)]",115.2
"[Book (Library of Congress, 4318_005)]",114.41666666666666
"[Cover (Library of Congress, 3968)]",108.0
"[Bookblock (Library of Congress, 4347_3)]",103.0
"[Bookblock (Library of Congress, 4240)]",95.0
"[Bookblock (Library of Congress, 3967)]",94.0
"[Textblock (Library of Congress, 2966)]",91.5
"[Bookblock (Library of Congress, 4341)]",90.0
"[Bookblock (Library of Congress, 3027)]",89.0
"[Textblock (Library of Congress, 4341)]",88.0
"[Bookblock (Library of Congress, 3927)]",87.0
"[Bookblock (Library of Congress, 2687)]",87.0
"[Bookblock (Library of Congress, 3674)]",86.0
"[Bookblock (Library of Congress, 3966)]",86.0
"[Bookblock (Library of Congress, 2966)]",86.0
"[Cover (Library of Congress, 3027)]",85.66666666666667
"[Bookblock (Library of Congress, 1697)]",83.0
"[Bookblock (Library of Congress, 2561)]",83.0
"[Bookblock (Library of Congress, 3995)]",83.0
"[Cover (Library of Congress, 4388_101_01)]",82.0
"[Bookblock (Library of Congress, 3824)]",79.0
"[Bookblock (Library of Congress, 3494)]",79.0
"[Bookblock (Library of Congress, 2247)]",78.0
"[Bookblock (Library of Congress, 529)]",78.0
"[Textblock (Library of Congress, 3927)]",77.0
"[Bookblock (Library of Congress, 4388_101_01)]",75.0
"[Bookblock (Library of Congress, 4265)]",74.0
"[Bookblock (Library of Congress, 4357_005_001)]",74.0
"[Cover (Library of Congress, 4053)]",73.1
"[Textblock (Library of Congress, 1697)]",72.0
"[Bookblock (Library of Congress, 4380)]",71.0
"[Bookblock (Library of Congress, 3968)]",71.0
"[Bookblock (Library of Congress, 4247)]",70.0
"[Textblock (Library of Congress, 3674)]",70.0
"[Bookblock (Library of Congress, 3928)]",70.0
"[Bookblock (Library of Congress, 4165)]",69.0
"[Bookblock (Library of Congress, 3929)]",67.0
"[Bookblock (Library of Congress, 4164)]",67.0
"[Textblock (Library of Congress, 2561)]",66.0
"[Conservation assessment (Library of Congress, 3824)]",66.0
"[Bookblock (Library of Congress, 3994)]",65.0
"[Cover (Library of Congress, 4357_005_001)]",64.6
"[Bookblock (Library of Congress, 4053)]",64.0
"[Conservation assessment (Library of Congress, 4053)]",63.0
"[Bookblock (Library of Congress, 4318_002)]",62.0
"[Bookblock (Library of Congress, 4318_001)]",62.0
"[Bookblock (Library of Congress, 4318_003)]",62.0
"[Conservation assessment (Library of Congress, 3027)]",61.0
"[Conservation assessment (Library of Congress, 1657_001)]",61.0
"[Textblock (Library of Congress, 3995)]",60.0
"[Textblock (Library of Congress, 3824)]",59.4
"[Bookblock (Library of Congress, 3819)]",59.0
"[Conservation assessment (Library of Congress, 3968)]",59.0
"[Conservation assessment (Library of Congress, 4357_005_001)]",59.0
"[Conservation assessment (Library of Congress, 4388_101_01)]",58.0
"[Bookblock (Library of Congress, 4539_003)]",58.0
"[Conservation assessment (Library of Congress, 3995)]",57.0
"[Cover (Library of Congress, 3824)]",56.1
"[Conservation assessment (Library of Congress, 3967)]",56.0
"[Textblock (Library of Congress, 2687)]",56.0
"[Conservation assessment (Library of Congress, 3494)]",56.0
"[Bookblock (Library of Congress, 4318_006)]",56.0
"[Conservation assessment (Library of Congress, 3929)]",55.0
"[Conservation assessment (Library of Congress, 4240)]",55.0
"[Conservation assessment (Library of Congress, 3966)]",54.0
"[Conservation assessment (Library of Congress, 4341)]",54.0
"[Conservation assessment (Library of Congress, 4247)]",54.0
"[Textblock (Library of Congress, 4347_3)]",54.0
"[Conservation assessment (Library of Congress, 3928)]",54.0
"[Cover (Library of Congress, 3494)]",54.0
"[Conservation assessment (Library of Congress, 1697)]",53.0
"[Conservation assessment (Library of Congress, 4265)]",53.0
"[Conservation assessment (Library of Congress, 2966)]",53.0
"[Conservation assessment (Library of Congress, 2247)]",52.0
"[Conservation assessment (Library of Congress, 4165)]",52.0
"[Conservation assessment (Library of Congress, 4347_3)]",52.0
"[Cover (Library of Congress, 3994)]",52.0
"[Conservation assessment (Library of Congress, 3927)]",51.0
"[Bookblock (Library of Congress, 4318_005)]",51.0
"[Conservation assessment (Library of Congress, 3994)]",49.0
"[Conservation assessment (Library of Congress, 4539_003)]",49.0
"[Conservation assessment (Library of Congress, 4318_006)]",49.0
"[Conservation assessment (Library of Congress, 3819)]",49.0
"[Conservation assessment (Library of Congress, 529)]",49.0
"[Cover (Library of Congress, 3995)]",48.714285714285715
"[Textblock (Library of Congress, 3994)]",48.0
"[Conservation assessment (Library of Congress, 2687)]",47.0
"[Conservation assessment (Library of Congress, 4318_005)]",47.0
"[Conservation assessment (Library of Congress, 4318_003)]",47.0
"[Conservation assessment (Library of Congress, 4318_001)]",47.0
"[Conservation assessment (Library of Congress, 4318_002)]",47.0
"[Textblock (Library of Congress, 4053)]",45.25
"[Conservation assessment (Library of Congress, 4164)]",44.0
"[Conservation assessment (Library of Congress, 3674)]",44.0
"[Conservation assessment (Library of Congress, 2561)]",44.0
"[Conservation assessment (Library of Congress, 4380)]",41.0
"[Cover (Library of Congress, 4164)]",40.0
"[Textblock (Library of Congress, 529)]",40.0
"[Textblock (Library of Congress, 3494)]",40.0
"[Covering material (Library of Congress, 3027)]",39.000000000000014
"[Left board (Library of Congress, 4318_001)]",38.5
