name,score
[Collection Item: The seasons],350.497483355525
[Collection Item: The works of that late most exc ...],350.3070071650488
"[Collection Item: The works of Alexander Pope, es ..., volume 1]",321.7626600393063
"[Collection Item: ... The catalogue of honor; or, ...]",305.32218384883015
"[Collection Item: L'histoire de Bretaigne, des ro ...]",293.77900509465536
[Collection Item: Andreae Alciati Emblematum font ...],285.8971838488301
"[Collection Item: The English reader, or, Pieces  ...]",282.80917166721326
[Collection Item: The annales of Cornelius Tacitu ...],274.37067176132206
"[Collection Item: Sixteen sermons, preached upon  ...]",272.23117767727473
[Collection Item: Oculus artificialis teledioptri ...],266.44263839428464
[Collection Item: Introduction to the English rea ...],260.247483355525
[Collection Item: An account of the European sett ...],258.4540050946554
[Collection Item: The new practical navigator : b ...],256.68417166721326
[Collection Item: The rhetorical reader : consist ...],254.98885051549678
[Collection Item: Sefer Shaʻare Tsiyon : eleh div ...],252.36582680008175
[Collection Item: Menorat ha-maʼor],249.3241601334151
[Collection Item: In M. Tullii Ciceronis Oratione ...],237.03951101060807
[Collection Item: Hai tou Anakreontos ōdai = The  ...],213.74263839428465
[Collection Item: A suruay of London : contayning ...],205.79070148679855
[Collection Item: A New General and Universal Atl ...],199.85427831869913
"[Collection Item: The American universal geograph ..., volume 2]",185.51451101060806
"[Collection Item: Exotic flora, containing figure ..., volume 3]",181.95957828499502
[Collection Item: Atlas coelestis],176.87464785768947
[Collection Item: The orations of Aeschines again ...],170.291758569251
"[Collection Item: Mission music : choir book, 177 ...]",165.64784434394141
"[6342_996-Conservation of ""Travels in New-Engla ...]",163.66972948311246
"[Collection Item: Williams' visits; or, Three hou ...]",161.03051718216346
[Collection Item: Illustrations of the birds of C ...],160.16146956311582
[Collection Item: La vie et les oeuvres spirituel ...],158.60238979848685
[Collection Item: The Antiquarian repertory; a mi ...],157.66146956311582
"[Collection Item: Travels in New-England and New-York, volume 4]",153.5070071650488
"[Collection Item: Travels in New-England and New-York, volume 2]",153.50700716504878
"[Collection Item: Travels in New-England and New-York, volume 1]",153.50700716504875
[Collection Item: De ortv ac progressv artis typo ...],152.16146956311584
[Collection Item: Poems on several occasions],151.55993119295664
[Collection Item: The history of the province of  ...],149.8494333574588
[Collection Item: Publii Virgilii Maronis Bucolic ...],149.46516442071362
[Collection Item: A fifth reader],146.33807960246702
[Collection Item: La destruction de l'aristocrati ...],140.31174278715952
"[Collection Item: English synonymes, with copious ...]",136.2193559718484
"[Collection Item: Galerie française, ou Collectio ...]",132.66146956311582
[Collection Item: P. Terentii Comœdiæ sex],131.39326452628995
[Collection Item: Analysis of the principles of r ...],125.43493119295663
"[5494_666-Conservation of ""The seasons""]",122.77675518166681
"[5654_879-Conservation of ""The works of that la ...]",120.60350353411488
[Pretreatment Examination: Condition Assessment],117.87086724420577
[Collection Item: The poems of Gray : adorned wit ...],116.95132463557958
"[6853_1016-Conservation of ""The works of Alexan ...]",115.57130884846707
[Collection Item: Dyalogus doctoris venerabilis M ...],112.85980587967342
"[4851  _121-Conservation of ""Menorat ha-maʼor""]",112.64525619134388
"[6211_993-Conservation of ""An account of the Eu ...]",111.7531896600496
"[5703_671-Conservation of ""... The catalogue of ...]",110.66957597614282
"[5626_680-Conservation of ""L'histoire de Bretai ...]",109.55360186625741
"[6519_1786-Conservation of ""Andreae Alciati Emb ...]",109.23201962615899
[Pretreatment Examination: Condition Assessment],108.37985788382193
[Collection Item: The works of Sir William Davena ...],107.20953265562972
[Pretreatment Examination: Condition Assessment],106.76994553152144
[Collection Item: The children's friend : consist ...],106.54286598896304
"[5500_659-Conservation of ""Sixteen sermons, pre ...]",105.57290967763939
"[Collection Item: The bombardier, and pocket gunn ...]",105.20953265562972
[Collection Item: A compendious system of astrono ...],103.85980587967343
[Collection Item: Beʼur ʼal ha-Torah [pt. 1].],103.73334217943925
"[3181-Conservation of ""The English reader, or,  ...]",100.0295683538196
"[4447-Conservation of ""The new practical naviga ...]",99.9142630985865
[Collection Item: Commentariorvm in Ioannis Apoca ...],99.43493119295663
"[5367_496-Conservation of ""The annales of Corne ...]",98.99194126082168
[Pretreatment Examination: Condition Assessment],98.36397102117
"[3191-Conservation of ""Sefer Shaʻare Tsiyon : e ...]",98.32312355057131
"[5363_494-Conservation of ""A suruay of London : ...]",98.05868399022678
[Pretreatment Examination: Condition Assessment],96.81176976330836
[Pretreatment Examination: Condition Assessment],96.2652704769816
[Collection Item: A dictionary of the English lan ...],95.9513246355796
[Collection Item: Poly-Olbion],95.95132463557958
[Pretreatment Examination: Condition Assessment],95.72215109564395
"[SPC_472-Conservation of ""Oculus artificialis t ...]",95.15302454613727
"[491-Conservation of ""Exotic flora, containing  ...]",94.99445383951615
"[3174-Conservation of ""Introduction to the Engl ...]",94.94209817200979
"[3182-Conservation of ""The rhetorical reader :  ...]",94.34428163898549
"[5686_928-Conservation of ""A New General and Un ...]",91.92809444561013
[Pretreatment Examination: Condition Assessment],91.78985827077379
[Pretreatment Examination: Condition Assessment],91.51463712253582
[boards],90.4886352759109
"[727-Conservation of ""Williams' visits; or, Thr ...]",89.2614287589501
"[5455_633-Conservation of ""The orations of Aesc ...]",88.15858460864675
[Pretreatment Examination: Condition Assessment],87.81673799768836
"[treatment steps,Treatment Steps]",87.78905165111405
"[939-Conservation of ""La vie et les oeuvres spi ...]",87.40259519277335
"[2033-Conservation of ""Atlas coelestis""]",85.67410808538295
[Pretreatment Examination: Condition Assessment],85.031801147019
[Pretreatment Examination: Condition Assessment],84.8380658326923
"[1108-Conservation of ""In M. Tullii Ciceronis O ...]",83.1493664562696
"[4434-Conservation of ""Mission music : choir bo ...]",81.86878043112199
[Pretreatment Examination: Condition Assessment],81.79932251454036
"[3827-Conservation of ""Hai tou Anakreontos ōdai ...]",80.66250653966478
[Pretreatment Examination: Condition Assessment],80.46378441393605
"[321-Conservation of ""Publii Virgilii Maronis B ...]",79.71863293796633
[Pretreatment Examination: Condition Assessment],77.77677629765452
[Collection Item: Spencer redivivus; containing t ...],76.2037037037037
"[4403-Conservation of ""English synonymes, with  ...]",75.08427480297686
[Pretreatment Examination: Condition Assessment],74.81627629719182
"[-Conservation of ""Illustrations of the birds o ...]",74.74298907948551
[boards],73.72434956162517
[Pretreatment Examination: Condition Assessment],72.3492704277605
[Pretreatment Examination: Condition Assessment],72.28743180341948
"[3176-Conservation of ""A fifth reader""]",72.27932647131254
"[1114-Conservation of ""De ortv ac progressv art ...]",71.52154521340933
"[513-Conservation of ""Dyalogus doctoris venerab ...]",71.49831158057634
[boards],70.72434956162517
[boards],70.72434956162517
"[5650_740-Conservation of ""The history of the p ...]",70.62644300322575
[Pretreatment Examination: Condition Assessment],70.1119432048792
[Pretreatment Examination: Condition Assessment],69.29730172258857
[Pretreatment Examination: Condition Assessment],69.2519551885311
[Pretreatment Examination: Condition Assessment],68.91277149553498
"[treatment steps,Treatment Steps]",68.79752067654148
"[4449-Conservation of ""Poems on several occasions""]",68.43932179110453
[Conservation Documentation: Text],67.68896025234325
"[318-Conservation of ""The works of Sir William  ...]",67.44431167228079
[Pretreatment Examination: Condition Assessment],67.2871700744457
[Pretreatment Examination: Condition Assessment],66.5644898322906
[Pretreatment Examination: Condition Assessment],66.10126570032304
"[1724-Conservation of ""Galerie française, ou Co ...]",65.34873726754971
"[1726-Conservation of ""The Antiquarian repertor ...]",65.3487372675497
[boards],65.3076828949585
[boards],64.72434956162517
[Collection Item: The extravagant shepherd],63.733342179439234
"[317-Conservation of ""P. Terentii Comœdiæ sex""]",63.403607505390255
[board reattachment],63.0
"[1918-Conservation of ""The bombardier, and pock ...]",62.38568924895249
"[3179-Conservation of ""Analysis of the principl ...]",62.31432179110453
[boards],61.724349561625175
"[751-Conservation of ""Commentariorvm in Ioannis ...]",60.49690815898502
"[704-Conservation of ""A compendious system of a ...]",60.42528386573966
"[_1919-Conservation of ""The children's friend ...]",60.359758899973606
"[1307-Conservation of ""La destruction de l'aris ...]",60.313035992504155
[Pretreatment Examination: Condition Assessment],60.27773705865259
"[741-Conservation of ""The American universal ge ...]",59.87082633408957
"[treatment steps,Treatment Steps]",59.775347113670236
[Pretreatment Examination: Descriptive Attribute Assignment],59.72836789043029
[boards],59.224349561625175
"[2030-Conservation of ""The poems of Gray : ador ...]",58.2772673203458
"[2032-Conservation of ""A dictionary of the Engl ...]",58.2772673203458
"[320-Conservation of ""Poly-Olbion""]",58.2772673203458
"[treatment steps,Treatment Steps]",57.79860292762373
[Pretreatment Examination: Condition Assessment],56.85680059973974
