name,score
"[Book (The National Archives, WO 69/905)]",205.68571428571428
[Kew (place)],181.0
"[Book (The National Archives, ADM 37/5039)]",167.11666666666667
"[Book (The National Archives, SP 24/18)]",149.25
"[Book (The National Archives, T 20/1220)]",148.9857142857143
"[Book (The National Archives, CRIM 10/28)]",148.75
"[Book (The National Archives, DL 30/603/2)]",146.16666666666666
"[Book (The National Archives, SP 91/14)]",146.0
"[Book (The National Archives, FO 802/607)]",142.85
"[Book (The National Archives, ADM 1/5437)]",141.78571428571428
"[Book (The National Archives, ADM 42/681)]",141.65
"[Book (The National Archives, PC 6/15)]",140.16666666666669
"[Book (The National Archives, E 36/29)]",140.0
"[Book (The National Archives, HCA 13/78)]",139.83333333333331
"[Book (The National Archives, ADM 1/5438)]",138.25
"[Book (The National Archives, E 405/550)]",136.5
"[Book (The National Archives, SP 104/143)]",136.25
"[Book (The National Archives, SP 44/335)]",134.41666666666666
"[Book (The National Archives, SP 104/171)]",133.91666666666666
"[Book (The National Archives, FO 802/614)]",133.25
"[Book (The National Archives, CO 31/1)]",131.5
"[Book (The National Archives, ADM 223/31)]",131.33333333333331
"[Book (The National Archives, ADM 139/1027)]",130.83333333333331
"[Book (The National Archives, CO 299/89)]",130.33333333333331
"[Book (The National Archives, E 36/2)]",130.1
"[Book (The National Archives, ASSI 41/4)]",129.5
"[Book (The National Archives, B 3/5243)]",128.78571428571428
"[Book (The National Archives, RAIL 527/1429)]",128.0
"[Book (The National Archives, FO 97/341)]",128.0
"[Book (The National Archives, PRO 30/69/1186)]",126.0
"[Book (The National Archives, RAIL 950/17)]",125.91666666666667
"[Book (The National Archives, SP 71/19)]",125.75
"[Book (The National Archives, SP 105/207)]",124.66666666666667
"[Book (The National Archives, WO 381/11)]",123.5
"[Book (The National Archives, ADM 55/32)]",120.16666666666667
"[Book (The National Archives, CO 473/9)]",119.0
"[Book (The National Archives, ADM 55/107)]",118.66666666666666
"[Book (The National Archives, LC 5/156)]",115.33333333333333
"[Book (The National Archives, HCA 13/56)]",112.5
"[Book (The National Archives, ADM 139/1025)]",112.16666666666666
"[Book (The National Archives, CO 5/904)]",111.5
"[Book (The National Archives, CRES 40/25A)]",111.0
"[Book (The National Archives, E 315/128)]",110.0
"[Book (The National Archives, ADM 139/1023)]",109.16666666666666
"[Book (The National Archives, ADM 1/2628)]",106.25
"[Cover (The National Archives, ADM 37/5039)]",102.80000000000001
"[Bookblock (The National Archives, SP 24/18)]",99.0
"[Cover (The National Archives, SP 104/143)]",93.25
"[Bookblock (The National Archives, WO 69/905)]",93.0
"[Book (The National Archives, ADM 55/24)]",90.0
"[Bookblock (The National Archives, ADM 1/5438)]",85.00000000000003
"[Cover (The National Archives, WO 69/905)]",82.71428571428572
"[Bookblock (The National Archives, E 405/550)]",81.00000000000001
"[Bookblock (The National Archives, SP 91/14)]",80.0
"[Cover (The National Archives, RAIL 527/1429)]",78.25
"[Bookblock (The National Archives, ADM 139/1025)]",77.0
"[Bookblock (The National Archives, T 20/1220)]",76.0
"[Bookblock (The National Archives, FO 802/614)]",76.0
