label,centrality
"[Conservation assessment (Bodleian, C 8 22 Line?)]",130.0
"[Conservation assessment (Bodleian, Ms Digby 44)]",110.0
"[Conservation assessment (Bodleian, 23197 d1)]",106.0
"[Conservation assessment (Bodleian, Vet.256e.15182)]",98.0
"[Conservation assessment (Bodleian, Ms. Auct. D.4.17)]",97.0
"[Conservation assessment (Bodleian, 8vo S 188 Art)]",92.0
"[Conservation assessment (Bodleian, Bliss B4)]",90.0
"[Conservation assessment (Bodleian, G.Pamph.2589)]",88.0
"[Conservation assessment (Bodleian, G.Pamph.2376)]",84.0
"[Conservation assessment (Bodleian, 6062)]",84.0
"[Conservation assessment (Bodleian, Ms. Clas. Dep. C.43)]",82.0
"[Addition to Bodleian, MS. e Mus. 65]",81.0
"[Addition to Bodleian, MS. e Mus. 65]",81.0
"[Modification of Bodleian, Ms. Auct. F.1.14]",81.0
"[Conservation assessment (Bodleian, Ms.Add.A.105)]",81.0
"[Modification of Bodleian, Arch.B.c.4]",78.0
"[Conservation assessment (Bodleian, Ms. Auct. F.1.14)]",78.0
"[Conservation assessment (Bodleian, Arch.F.b.3)]",78.0
"[Conservation assessment (Bodleian, G.Pamph.1670)]",75.0
"[Addition to Bodleian, Arch.B.c.4]",74.0
"[Addition to Bodleian, Arch.B.c.4]",74.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",74.0
"[Addition to Bodleian, C 8 22 Line?]",71.0
"[Modification of Bodleian, Arch.F.b.3]",71.0
"[Addition to Bodleian, C 8 22 Line?]",71.0
"[Conservation assessment (Bodleian, MS. e Mus. 65)]",69.0
"[Conservation assessment (Bodleian, Dance E 44)]",69.0
"[Modification of Bodleian, G.Pamph.1670]",67.0
"[Conservation assessment (Bodleian, Inc.d.f2.1494.2)]",66.0
"[Modification of Bodleian, Vet.Al.d.39]",66.0
"[Modification of Bodleian, Vet.Al.d.39]",66.0
"[Conservation assessment (Bodleian, Arch.B.c.4)]",65.5
"[Conservation assessment (Bodleian, AA 106 Art)]",65.0
"[Addition to Bodleian, Arch A f 134]",65.0
"[Modification of Bodleian, Ms.BOM.187]",64.0
"[Modification of Bodleian, MS. e Mus. 65]",61.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",61.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",61.0
"[Conservation assessment (Bodleian, Vet.Al.d.39)]",58.5
"[Addition to Bodleian, G.Pamph.2376]",58.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",58.0
"[Conservation assessment (Bodleian, Arch A f 134)]",57.0
"[Addition to Bodleian, G.Pamph.2589]",57.0
"[Addition to Bodleian, Ms.Douce.88]",57.0
"[Addition to Bodleian, Ms.Douce.88]",57.0
"[Addition to Bodleian, Ms.Douce.88]",57.0
"[Addition to Bodleian, MS. e Mus. 65]",56.0
"[Addition to Bodleian, MS. e Mus. 65]",56.0
"[Addition to Bodleian, MS. e Mus. 65]",56.0
"[Addition to Bodleian, MS. e Mus. 65]",56.0
"[Addition to Bodleian, C 8 22 Line?]",54.0
"[Modification of Bodleian, Inc.d.f2.1494.2]",53.0
"[Conservation assessment (Bodleian, Ms.Douce.88)]",52.0
"[Conservation assessment (Bodleian, Ms.BOM.187)]",50.0
"[Removal from Bodleian, Arch.F.b.3]",46.0
"[Modification of Bodleian, Arch.F.b.3]",43.0
"[Modification of Bodleian, Arch.F.b.3]",43.0
"[Modification of Bodleian, G.Pamph.1670]",40.0
"[Modification of Bodleian, Arch.B.c.4]",40.0
"[Modification of Bodleian, Arch A f 134]",39.0
"[Modification of Bodleian, Arch.B.c.4]",34.0
"[Modification of Bodleian, MS. e Mus. 65]",34.0
"[Modification of Bodleian, Arch.B.c.4]",34.0
"[Sewing production (Bodleian, Vet.Al.d.39)]",33.0
"[Modification of Bodleian, Arch.B.c.4]",32.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",31.0
"[Modification of Bodleian, AA 106 Art]",31.0
"[Modification of Bodleian, AA 106 Art]",31.0
"[Modification of Bodleian, AA 106 Art]",30.0
"[Modification of Bodleian, Ms.Add.A.105]",30.0
"[Modification of Bodleian, C 8 22 Line?]",30.0
"[Modification of Bodleian, AA 106 Art]",30.0
"[Addition to Bodleian, Arch.B.c.4]",29.5
"[Addition to Bodleian, Arch.B.c.4]",29.5
"[Modification of Bodleian, 6062]",29.0
"[Modification of Bodleian, Arch.B.c.4]",29.0
"[Modification of Bodleian, Arch A f 134]",29.0
"[Modification of Bodleian, AA 106 Art]",29.0
"[Modification of Bodleian, Ms. Auct. F.1.14]",28.0
"[Modification of Bodleian, MS. e Mus. 65]",28.0
"[Modification of Bodleian, C 8 22 Line?]",28.0
"[Modification of Bodleian, Arch A f 134]",28.0
"[Modification of Bodleian, G.Pamph.1670]",28.0
"[Modification of Bodleian, AA 106 Art]",28.0
"[Sewing production (Bodleian, Arch.B.c.4)]",28.0
"[Modification of Bodleian, MS. e Mus. 65]",28.0
"[Modification of Bodleian, Arch.B.c.4]",28.0
"[Modification of Bodleian, C 8 22 Line?]",27.0
"[Modification of Bodleian, Arch.B.c.4]",27.0
"[Modification of Bodleian, 8vo S 188 Art]",27.0
"[Removal from Bodleian, G.Pamph.1670]",26.0
"[Removal from Bodleian, G.Pamph.1670]",26.0
"[Modification of Bodleian, Vet.Al.d.39]",26.0
"[Modification of Bodleian, Arch A f 134]",26.0
"[Removal from Bodleian, Arch A f 134]",26.0
"[Modification of Bodleian, Arch A f 134]",26.0
"[Modification of Bodleian, Vet.256e.15182]",26.0
"[Modification of Bodleian, Vet.Al.d.39]",26.0
"[Modification of Bodleian, Bliss B4]",26.0
"[Book (Bodleian, Arch.F.b.3)]",25.333333333333332
"[Modification of Bodleian, MS. e Mus. 65]",25.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",25.0
"[Modification of Bodleian, Arch A f 134]",24.0
"[Modification of Bodleian, Bliss B4]",24.0
