label,centrality
"[Conservation assessment (Library of Congress, 3824)]",66.0
"[Conservation assessment (Library of Congress, 4053)]",63.0
"[Conservation assessment (Library of Congress, 3027)]",61.0
"[Conservation assessment (Library of Congress, 4357_005_001)]",59.0
"[Conservation assessment (Library of Congress, 3968)]",59.0
"[Conservation assessment (Library of Congress, 4388_101_01)]",58.0
"[Conservation assessment (Library of Congress, 3995)]",57.0
"[Conservation assessment (Library of Congress, 3494)]",56.0
"[Conservation assessment (Library of Congress, 3967)]",56.0
"[Conservation assessment (Library of Congress, 4240)]",55.0
"[Conservation assessment (Library of Congress, 3929)]",55.0
"[Conservation assessment (Library of Congress, 3928)]",54.0
"[Conservation assessment (Library of Congress, 4341)]",54.0
"[Conservation assessment (Library of Congress, 4247)]",54.0
"[Conservation assessment (Library of Congress, 3966)]",54.0
"[Conservation assessment (Library of Congress, 4265)]",53.0
"[Conservation assessment (Library of Congress, 2966)]",53.0
"[Conservation assessment (Library of Congress, 1697)]",53.0
"[Conservation assessment (Library of Congress, 2247)]",52.0
"[Conservation assessment (Library of Congress, 4165)]",52.0
"[Conservation assessment (Library of Congress, 4347_3)]",52.0
"[Conservation assessment (Library of Congress, 3927)]",51.0
"[Conservation assessment (Library of Congress, 529)]",49.0
"[Conservation assessment (Library of Congress, 3994)]",49.0
"[Conservation assessment (Library of Congress, 4539_003)]",49.0
"[Conservation assessment (Library of Congress, 4318_006)]",49.0
"[Conservation assessment (Library of Congress, 3819)]",49.0
"[Conservation assessment (Library of Congress, 4318_003)]",47.0
"[Conservation assessment (Library of Congress, 4318_001)]",47.0
"[Conservation assessment (Library of Congress, 4318_002)]",47.0
"[Conservation assessment (Library of Congress, 2687)]",47.0
"[Conservation assessment (Library of Congress, 4318_005)]",47.0
"[Conservation assessment (Library of Congress, 4164)]",44.0
"[Conservation assessment (Library of Congress, 2561)]",44.0
"[Conservation assessment (Library of Congress, 3674)]",44.0
"[Conservation assessment (Library of Congress, 4380)]",41.0
"[Conservation assessment (Library of Congress, 1657_001)]",27.5
"[Modification of Library of Congress, 3968]",17.0
"[Modification of Library of Congress, 3929]",17.0
"[Modification of Library of Congress, 3929]",17.0
"[Modification of Library of Congress, 3968]",17.0
"[Modification of Library of Congress, 3929]",16.0
"[Modification of Library of Congress, 3929]",16.0
"[Modification of Library of Congress, 4053]",16.0
"[Modification of Library of Congress, 3968]",16.0
"[Modification of Library of Congress, 4053]",15.0
"[Modification of Library of Congress, 4388_101_01]",15.0
"[Book (Library of Congress, 3824)]",14.75
"[Book (Library of Congress, 4053)]",14.0
"[Modification of Library of Congress, 4388_101_01]",14.0
"[Modification of Library of Congress, 3824]",13.0
"[Modification of Library of Congress, 4357_005_001]",13.0
"[Modification of Library of Congress, 3027]",13.0
"[Modification of Library of Congress, 3027]",13.0
"[Modification of Library of Congress, 3027]",13.0
"[Modification of Library of Congress, 3824]",12.0
"[Modification of Library of Congress, 4357_005_001]",12.0
"[Modification of Library of Congress, 3824]",11.0
"[Modification of Library of Congress, 2966]",11.0
"[Modification of Library of Congress, 1657_001]",11.0
"[Removal from Library of Congress, 1657_001]",11.0
"[Modification of Library of Congress, 4247]",11.0
"[Modification of Library of Congress, 3928]",11.0
"[Modification of Library of Congress, 2966]",11.0
"[Modification of Library of Congress, 1657_001]",11.0
"[Modification of Library of Congress, 4247]",11.0
"[Modification of Library of Congress, 1657_001]",11.0
"[Modification of Library of Congress, 4053]",11.0
"[Modification of Library of Congress, 3824]",11.0
