label,centrality
[Conservation Documentation: Text],101.0
[Conservation Documentation: Text],81.0
[Conservation Documentation: Text],79.0
[Conservation Documentation: Text],76.0
[Conservation Documentation: Text],74.0
[Conservation Documentation: Text],73.0
[Conservation Documentation: Text],72.0
[Conservation Documentation: Text],72.0
[Conservation Documentation: Text],70.0
[Conservation Documentation: Text],69.0
[Conservation Documentation: Text],66.0
[Conservation Documentation: Text],66.0
[Conservation Documentation: Text],65.0
[Conservation Documentation: Text],65.0
[Conservation Documentation: Text],64.0
[Conservation Documentation: Text],63.0
[Conservation Documentation: Text],63.0
[Conservation Documentation: Text],63.0
[Conservation Documentation: Text],61.0
[Conservation Documentation: Text],61.0
[Conservation Documentation: Text],59.0
[Conservation Documentation: Text],58.0
[Conservation Documentation: Text],58.0
[Conservation Documentation: Text],56.0
[Conservation Documentation: Text],56.0
[Conservation Documentation: Text],55.0
[Conservation Documentation: Text],54.0
[Conservation Documentation: Text],52.0
[Conservation Documentation: Text],51.0
[Conservation Documentation: Text],49.0
[Conservation Documentation: Text],48.0
[Conservation Documentation: Text],48.0
[Conservation Documentation: Text],48.0
[Conservation Documentation: Text],47.0
[Conservation Documentation: Text],46.0
[Conservation Documentation: Text],44.0
[Conservation Documentation: Text],43.0
[Conservation Documentation: Text],43.0
[Conservation Documentation: Text],42.0
[Conservation Documentation: Text],42.0
[Conservation Documentation: Text],41.0
[Conservation Documentation: Text],41.0
[Conservation Documentation: Text],41.0
[Conservation Documentation: Text],41.0
[Conservation Documentation: Text],40.0
[Conservation Documentation: Text],40.0
[Conservation Documentation: Text],39.0
[Conservation Documentation: Text],39.0
[Conservation Documentation: Text],39.0
[Conservation Documentation: Text],36.0
[Conservation Documentation: Text],35.0
"[6342_996-Conservation of ""Travels in New-Engla ...]",32.666666666666664
[Conservation Documentation: Text],31.0
"[5494_666-Conservation of ""The seasons""]",26.0
"[5654_879-Conservation of ""The works of that la ...]",25.333333333333332
"[6853_1016-Conservation of ""The works of Alexan ...]",24.333333333333332
"[6211_993-Conservation of ""An account of the Eu ...]",23.666666666666668
"[4851  _121-Conservation of ""Menorat ha-maʼor""]",23.333333333333332
"[5703_671-Conservation of ""... The catalogue of ...]",23.0
"[5626_680-Conservation of ""L'histoire de Bretai ...]",23.0
"[6519_1786-Conservation of ""Andreae Alciati Emb ...]",22.333333333333332
"[5500_659-Conservation of ""Sixteen sermons, pre ...]",22.0
"[5367_496-Conservation of ""The annales of Corne ...]",21.0
"[3181-Conservation of ""The English reader, or,  ...]",21.0
"[3191-Conservation of ""Sefer Shaʻare Tsiyon : e ...]",20.666666666666668
"[4447-Conservation of ""The new practical naviga ...]",20.666666666666668
"[5363_494-Conservation of ""A suruay of London : ...]",20.333333333333332
"[491-Conservation of ""Exotic flora, containing  ...]",20.0
"[3174-Conservation of ""Introduction to the Engl ...]",20.0
"[SPC_472-Conservation of ""Oculus artificialis t ...]",20.0
"[3182-Conservation of ""The rhetorical reader :  ...]",19.333333333333332
"[5686_928-Conservation of ""A New General and Un ...]",19.333333333333332
"[727-Conservation of ""Williams' visits; or, Thr ...]",18.666666666666668
"[5455_633-Conservation of ""The orations of Aesc ...]",18.333333333333332
"[939-Conservation of ""La vie et les oeuvres spi ...]",18.333333333333332
"[2033-Conservation of ""Atlas coelestis""]",17.666666666666668
"[1108-Conservation of ""In M. Tullii Ciceronis O ...]",17.666666666666668
"[4434-Conservation of ""Mission music : choir bo ...]",17.333333333333332
"[3827-Conservation of ""Hai tou Anakreontos ōdai ...]",17.0
"[321-Conservation of ""Publii Virgilii Maronis B ...]",16.333333333333332
"[4403-Conservation of ""English synonymes, with  ...]",16.0
"[-Conservation of ""Illustrations of the birds o ...]",15.333333333333334
"[treatment steps,Treatment Steps]",15.333333333333334
"[3176-Conservation of ""A fifth reader""]",15.0
"[5650_740-Conservation of ""The history of the p ...]",15.0
"[1114-Conservation of ""De ortv ac progressv art ...]",15.0
"[513-Conservation of ""Dyalogus doctoris venerab ...]",14.666666666666666
"[4449-Conservation of ""Poems on several occasions""]",14.333333333333334
"[318-Conservation of ""The works of Sir William  ...]",13.666666666666666
"[1726-Conservation of ""The Antiquarian repertor ...]",13.333333333333334
"[1724-Conservation of ""Galerie française, ou Co ...]",13.333333333333334
"[317-Conservation of ""P. Terentii Comœdiæ sex""]",13.0
"[3179-Conservation of ""Analysis of the principl ...]",13.0
"[1918-Conservation of ""The bombardier, and pock ...]",12.666666666666666
"[741-Conservation of ""The American universal ge ...]",12.666666666666666
"[704-Conservation of ""A compendious system of a ...]",12.666666666666666
"[751-Conservation of ""Commentariorvm in Ioannis ...]",12.666666666666666
"[1307-Conservation of ""La destruction de l'aris ...]",12.333333333333334
"[_1919-Conservation of ""The children's friend ...]",12.333333333333334
"[2030-Conservation of ""The poems of Gray : ador ...]",12.0
"[treatment steps,Treatment Steps]",12.0
"[2032-Conservation of ""A dictionary of the Engl ...]",12.0
"[320-Conservation of ""Poly-Olbion""]",12.0
"[treatment steps,Treatment Steps]",11.666666666666666
[Pretreatment Examination: Descriptive Attribute Assignment],11.428571428571429
"[treatment steps,Treatment Steps]",11.166666666666666
"[999-Conservation of ""Beʼur ʼal ha-Torah [pt. 1].""]",11.0
"[treatment steps,Treatment Steps]",10.833333333333334
"[1741-Conservation of ""Spencer redivivus; conta ...]",10.666666666666666
"[treatment steps,Treatment Steps]",10.666666666666666
"[treatment steps,Treatment Steps]",10.5
"[treatment steps,Treatment Steps]",10.5
"[treatment steps,Treatment Steps]",10.166666666666666
"[treatment steps,Treatment Steps]",10.0
"[treatment steps,Treatment Steps]",9.833333333333334
"[treatment steps,Treatment Steps]",9.666666666666666
"[treatment steps,Treatment Steps]",9.666666666666666
