label,centrality
"[Conservation assessment (The National Archives, ADM 37/5039)]",68.0
"[Conservation assessment (The National Archives, T 20/1220)]",62.0
"[Conservation assessment (The National Archives, CRIM 10/28)]",62.0
"[Conservation assessment (The National Archives, DL 30/603/2)]",60.0
"[Conservation assessment (The National Archives, SP 24/18)]",59.0
"[Conservation assessment (The National Archives, SP 91/14)]",58.0
"[Conservation assessment (The National Archives, PC 6/15)]",57.0
"[Conservation assessment (The National Archives, ADM 1/5438)]",57.0
"[Conservation assessment (The National Archives, E 405/550)]",57.0
"[Conservation assessment (The National Archives, FO 802/607)]",57.0
"[Conservation assessment (The National Archives, SP 104/171)]",56.0
"[Conservation assessment (The National Archives, ADM 42/681)]",56.0
"[Conservation assessment (The National Archives, HCA 13/78)]",56.0
"[Conservation assessment (The National Archives, SP 104/143)]",56.0
"[Conservation assessment (The National Archives, ADM 1/5437)]",56.0
"[Conservation assessment (The National Archives, E 36/29)]",55.0
"[Conservation assessment (The National Archives, ADM 139/1027)]",54.0
"[Conservation assessment (The National Archives, CO 31/1)]",53.0
"[Conservation assessment (The National Archives, SP 44/335)]",53.0
"[Conservation assessment (The National Archives, B 3/5243)]",53.0
"[Conservation assessment (The National Archives, FO 802/614)]",52.0
"[Conservation assessment (The National Archives, FO 97/341)]",52.0
"[Conservation assessment (The National Archives, CO 299/89)]",52.0
"[Conservation assessment (The National Archives, RAIL 527/1429)]",51.0
"[Conservation assessment (The National Archives, ASSI 41/4)]",51.0
"[Conservation assessment (The National Archives, E 36/2)]",51.0
"[Conservation assessment (The National Archives, ADM 223/31)]",51.0
"[Conservation assessment (The National Archives, SP 105/207)]",50.0
"[Conservation assessment (The National Archives, WO 381/11)]",50.0
"[Conservation assessment (The National Archives, SP 71/19)]",50.0
"[Conservation assessment (The National Archives, RAIL 950/17)]",49.0
"[Conservation assessment (The National Archives, ADM 55/32)]",48.0
"[Conservation assessment (The National Archives, PRO 30/69/1186)]",48.0
"[Conservation assessment (The National Archives, ADM 139/1025)]",45.0
"[Conservation assessment (The National Archives, CO 5/904)]",45.0
"[Conservation assessment (The National Archives, CO 473/9)]",45.0
"[Conservation assessment (The National Archives, ADM 55/107)]",45.0
