name,incomingEdges
[thread],49.0
"[Main conservation event (Bodleian, C 8 22 Line?)]",35.0
"[Main conservation event (Bodleian, Arch A f 134)]",32.0
"[Main conservation event (Bodleian, MS. e Mus. 65)]",31.0
"[Main conservation event (Bodleian, Arch.B.c.4)]",29.0
"[Main conservation event (Bodleian, AA 106 Art)]",29.0
"[Book (Bodleian, Arch.B.c.4)]",25.0
"[Bookblock (Bodleian, Arch A f 134)]",23.0
"[Main conservation event (Bodleian, 23197 d1)]",22.0
"[Book (Bodleian, Ms.Douce.88)]",22.0
"[Main conservation event (Bodleian, Vet.Al.d.39)]",21.0
"[Book (Bodleian, 6062)]",21.0
"[Bookblock (Bodleian, AA 106 Art)]",20.0
"[Book (Bodleian, C 8 22 Line?)]",20.0
"[Cover (Bodleian, Arch.B.c.4)]",19.0
"[Cover (Bodleian, AA 106 Art)]",19.0
"[Book (Bodleian, Bliss B4)]",19.0
"[Book (Bodleian, Arch A f 134)]",19.0
"[Main conservation event (Bodleian, Vet.256e.15182)]",18.0
"[Main conservation event (Bodleian, G.Pamph.1670)]",18.0
"[Main conservation event (Bodleian, Ms.Douce.88)]",17.0
"[Main conservation event (Bodleian, G.Pamph.2589)]",17.0
"[Main conservation event (Bodleian, 6062)]",17.0
"[Book (Bodleian, Vet.256e.15182)]",17.0
"[Book (Bodleian, MS. e Mus. 65)]",17.0
"[Book (Bodleian, Inc.d.f2.1494.2)]",17.0
"[Book (Bodleian, G.Pamph.2589)]",17.0
"[Book (Bodleian, G.Pamph.2376)]",17.0
"[Main conservation event (Bodleian, Ms. Clas. Dep. C.43)]",16.0
"[Cover (Bodleian, Inc.d.f2.1494.2)]",16.0
"[Cover (Bodleian, C 8 22 Line?)]",16.0
"[Book (Bodleian, Ms. Clas. Dep. C.43)]",16.0
"[Book (Bodleian, Dance E 44)]",16.0
"[Book (Bodleian, Arch.F.b.3)]",16.0
"[Main conservation event (Bodleian, G.Pamph.2376)]",15.0
"[Bookblock (Bodleian, MS. e Mus. 65)]",15.0
"[Bookblock (Bodleian, C 8 22 Line?)]",15.0
"[Book (Bodleian, Vet.Al.d.39)]",15.0
[cord],14.0
"[Book (Bodleian, Ms. Auct. F.1.14)]",14.0
"[Book (Bodleian, Ms. Auct. D.4.17)]",14.0
"[Book (Bodleian, AA 106 Art)]",14.0
"[Book (Bodleian, 8vo S 188 Art)]",14.0
"[Main conservation event (Bodleian, Ms. Auct. D.4.17)]",13.0
"[Main conservation event (Bodleian, Inc.d.f2.1494.2)]",13.0
"[Main conservation event (Bodleian, Arch.F.b.3)]",13.0
"[Cover (Bodleian, Vet.Al.d.39)]",13.0
"[Book (Bodleian, Ms.BOM.187)]",13.0
"[Book (Bodleian, Ms Digby 44)]",13.0
"[Book (Bodleian, G.Pamph.1670)]",13.0
"[Book (Bodleian, 23197 d1)]",13.0
"[Main conservation event (Bodleian, Dance E 44)]",12.0
"[Main conservation event (Bodleian, Bliss B4)]",12.0
"[Main conservation event (Bodleian, 8vo S 188 Art)]",12.0
[Japanese paper (handmade paper)],12.0
"[Cover (Bodleian, Ms.Douce.88)]",12.0
"[Cover (Bodleian, Ms.BOM.187)]",12.0
"[Cover (Bodleian, Ms. Auct. D.4.17)]",12.0
"[Cover (Bodleian, Arch A f 134)]",12.0
