name,incomingEdges
"[Main conservation event (Library of Congress, 3995)]",23.0
"[Main conservation event (Library of Congress, 3824)]",23.0
"[Main conservation event (Library of Congress, 2966)]",23.0
"[Main conservation event (Library of Congress, 3027)]",22.0
"[Main conservation event (Library of Congress, 3928)]",21.0
"[Main conservation event (Library of Congress, 4341)]",20.0
"[Main conservation event (Library of Congress, 4247)]",20.0
"[Main conservation event (Library of Congress, 4053)]",20.0
"[Main conservation event (Library of Congress, 3927)]",20.0
"[Main conservation event (Library of Congress, 4318_001)]",19.0
"[Main conservation event (Library of Congress, 3968)]",19.0
"[Main conservation event (Library of Congress, 3494)]",19.0
"[Main conservation event (Library of Congress, 1697)]",19.0
"[Main conservation event (Library of Congress, 4318_003)]",18.0
"[Main conservation event (Library of Congress, 4318_002)]",18.0
"[Main conservation event (Library of Congress, 4265)]",18.0
"[Main conservation event (Library of Congress, 2561)]",18.0
"[Main conservation event (Library of Congress, 1657_001)]",18.0
"[Main conservation event (Library of Congress, 3929)]",17.0
"[Main conservation event (Library of Congress, 529)]",16.0
"[Main conservation event (Library of Congress, 4347_3)]",16.0
"[Main conservation event (Library of Congress, 3994)]",16.0
"[Main conservation event (Library of Congress, 3967)]",16.0
"[Main conservation event (Library of Congress, 3819)]",16.0
"[Main conservation event (Library of Congress, 3674)]",16.0
"[Main conservation event (Library of Congress, 4357_005_001)]",15.0
"[Main conservation event (Library of Congress, 4318_006)]",15.0
"[Main conservation event (Library of Congress, 4318_005)]",15.0
"[Main conservation event (Library of Congress, 4165)]",15.0
"[Main conservation event (Library of Congress, 4388_101_01)]",14.0
"[Main conservation event (Library of Congress, 4380)]",14.0
"[Main conservation event (Library of Congress, 4240)]",14.0
"[Main conservation event (Library of Congress, 2247)]",14.0
"[Book (Library of Congress, 529)]",14.0
"[Main conservation event (Library of Congress, 3966)]",13.0
"[Book (Library of Congress, 4357_005_001)]",13.0
"[Book (Library of Congress, 4265)]",13.0
"[Book (Library of Congress, 4247)]",13.0
"[Book (Library of Congress, 4165)]",13.0
"[Book (Library of Congress, 3995)]",13.0
"[Book (Library of Congress, 3928)]",13.0
"[Book (Library of Congress, 3927)]",13.0
"[Book (Library of Congress, 3824)]",13.0
"[Book (Library of Congress, 3027)]",13.0
"[Main conservation event (Library of Congress, 4539_003)]",12.0
"[Main conservation event (Library of Congress, 2687)]",12.0
"[Book (Library of Congress, 4539_003)]",12.0
"[Book (Library of Congress, 4347_3)]",12.0
"[Book (Library of Congress, 4341)]",12.0
"[Book (Library of Congress, 4318_005)]",12.0
"[Book (Library of Congress, 4318_003)]",12.0
"[Book (Library of Congress, 4318_002)]",12.0
"[Book (Library of Congress, 4318_001)]",12.0
"[Book (Library of Congress, 4053)]",12.0
"[Book (Library of Congress, 3967)]",12.0
"[Book (Library of Congress, 3966)]",12.0
"[Book (Library of Congress, 3929)]",12.0
"[Book (Library of Congress, 2966)]",12.0
"[Book (Library of Congress, 2687)]",12.0
"[Book (Library of Congress, 2247)]",12.0
"[Book (Library of Congress, 4388_101_01)]",11.0
"[Book (Library of Congress, 4318_006)]",11.0
"[Book (Library of Congress, 4240)]",11.0
"[Book (Library of Congress, 4164)]",11.0
"[Book (Library of Congress, 3994)]",11.0
"[Book (Library of Congress, 3968)]",11.0
"[Book (Library of Congress, 3819)]",11.0
"[Book (Library of Congress, 3674)]",11.0
"[Book (Library of Congress, 3494)]",11.0
"[Book (Library of Congress, 1657_001)]",11.0
"[Book (Library of Congress, 4380)]",10.0
"[Book (Library of Congress, 2561)]",10.0
"[Book (Library of Congress, 1697)]",10.0
"[Bookblock (Library of Congress, 4347_3)]",9.0
"[Bookblock (Library of Congress, 4240)]",9.0
"[Bookblock (Library of Congress, 3967)]",9.0
"[Bookblock (Library of Congress, 3966)]",9.0
"[Bookblock (Library of Congress, 3824)]",9.0
"[Bookblock (Library of Congress, 3027)]",9.0
"[Bookblock (Library of Congress, 1657_001)]",9.0
"[Cover (Library of Congress, 3929)]",8.0
"[Bookblock (Library of Congress, 529)]",8.0
"[Bookblock (Library of Congress, 4539_003)]",8.0
"[Bookblock (Library of Congress, 4388_101_01)]",8.0
"[Bookblock (Library of Congress, 4380)]",8.0
"[Bookblock (Library of Congress, 4357_005_001)]",8.0
"[Bookblock (Library of Congress, 4341)]",8.0
"[Bookblock (Library of Congress, 4318_006)]",8.0
"[Bookblock (Library of Congress, 4318_005)]",8.0
"[Bookblock (Library of Congress, 4318_003)]",8.0
"[Bookblock (Library of Congress, 4318_002)]",8.0
"[Bookblock (Library of Congress, 4318_001)]",8.0
"[Bookblock (Library of Congress, 4265)]",8.0
"[Bookblock (Library of Congress, 4247)]",8.0
"[Bookblock (Library of Congress, 4165)]",8.0
"[Bookblock (Library of Congress, 4164)]",8.0
"[Bookblock (Library of Congress, 4053)]",8.0
"[Bookblock (Library of Congress, 3995)]",8.0
"[Bookblock (Library of Congress, 3994)]",8.0
"[Bookblock (Library of Congress, 3968)]",8.0
"[Bookblock (Library of Congress, 3929)]",8.0
"[Bookblock (Library of Congress, 3928)]",8.0
"[Bookblock (Library of Congress, 3927)]",8.0
"[Bookblock (Library of Congress, 3819)]",8.0
"[Bookblock (Library of Congress, 3674)]",8.0
"[Bookblock (Library of Congress, 3494)]",8.0
"[Bookblock (Library of Congress, 2966)]",8.0
"[Bookblock (Library of Congress, 2687)]",8.0
"[Bookblock (Library of Congress, 2561)]",8.0
"[Bookblock (Library of Congress, 2247)]",8.0
"[Bookblock (Library of Congress, 1697)]",8.0
"[Cover (Library of Congress, 4053)]",7.0
"[Cover (Library of Congress, 3968)]",7.0
"[Textblock (Library of Congress, 4341)]",6.0
"[Textblock (Library of Congress, 4053)]",6.0
"[Textblock (Library of Congress, 2966)]",6.0
"[Textblock (Library of Congress, 1657_001)]",6.0
"[Main conservation event (Library of Congress, 4164)]",6.0
"[Cover (Library of Congress, 4388_101_01)]",6.0
"[Cover (Library of Congress, 4357_005_001)]",6.0
"[Textblock (Library of Congress, 3927)]",5.0
"[Textblock (Library of Congress, 3824)]",5.0
"[Textblock (Library of Congress, 3674)]",5.0
"[Textblock (Library of Congress, 2687)]",5.0
"[Cover (Library of Congress, 3995)]",5.0
"[Cover (Library of Congress, 3824)]",5.0
"[Cover (Library of Congress, 3494)]",5.0
"[Cover (Library of Congress, 3027)]",5.0
"[Conservation assessment (Library of Congress, 529)]",5.0
"[Conservation assessment (Library of Congress, 4247)]",5.0
"[Conservation assessment (Library of Congress, 4053)]",5.0
"[Conservation assessment (Library of Congress, 3929)]",5.0
"[Conservation assessment (Library of Congress, 3928)]",5.0
"[Conservation assessment (Library of Congress, 3824)]",5.0
"[Conservation assessment (Library of Congress, 3027)]",5.0
"[Conservation assessment (Library of Congress, 2687)]",5.0
"[Conservation assessment (Library of Congress, 2561)]",5.0
"[Conservation assessment (Library of Congress, 2247)]",5.0
"[Conservation assessment (Library of Congress, 1697)]",5.0
"[Conservation assessment (Library of Congress, 1657_001)]",5.0
"[Textblock (Library of Congress, 529)]",4.0
"[Textblock (Library of Congress, 4347_3)]",4.0
"[Textblock (Library of Congress, 3995)]",4.0
"[Textblock (Library of Congress, 3994)]",4.0
"[Textblock (Library of Congress, 3494)]",4.0
"[Textblock (Library of Congress, 2561)]",4.0
"[Textblock (Library of Congress, 2247)]",4.0
"[Textblock (Library of Congress, 1697)]",4.0
"[Right board (Library of Congress, 4539_003)]",4.0
"[Right board (Library of Congress, 4388_101_01)]",4.0
"[Right board (Library of Congress, 4357_005_001)]",4.0
"[Right board (Library of Congress, 4341)]",4.0
"[Right board (Library of Congress, 4318_006)]",4.0
"[Right board (Library of Congress, 4318_005)]",4.0
"[Right board (Library of Congress, 4318_003)]",4.0
"[Right board (Library of Congress, 4318_002)]",4.0
"[Right board (Library of Congress, 4318_001)]",4.0
"[Right board (Library of Congress, 4265)]",4.0
"[Right board (Library of Congress, 4247)]",4.0
"[Right board (Library of Congress, 4240)]",4.0
"[Right board (Library of Congress, 4165)]",4.0
"[Right board (Library of Congress, 4053)]",4.0
"[Right board (Library of Congress, 3995)]",4.0
"[Right board (Library of Congress, 3968)]",4.0
"[Right board (Library of Congress, 3967)]",4.0
"[Right board (Library of Congress, 3966)]",4.0
"[Right board (Library of Congress, 3928)]",4.0
"[Right board (Library of Congress, 3824)]",4.0
"[Right board (Library of Congress, 3819)]",4.0
"[Right board (Library of Congress, 3494)]",4.0
"[Right board (Library of Congress, 2966)]",4.0
"[Right board (Library of Congress, 2247)]",4.0
"[Right board (Library of Congress, 1697)]",4.0
"[Left board (Library of Congress, 4539_003)]",4.0
"[Left board (Library of Congress, 4388_101_01)]",4.0
"[Left board (Library of Congress, 4357_005_001)]",4.0
"[Left board (Library of Congress, 4341)]",4.0
"[Left board (Library of Congress, 4318_006)]",4.0
"[Left board (Library of Congress, 4318_005)]",4.0
"[Left board (Library of Congress, 4318_003)]",4.0
"[Left board (Library of Congress, 4318_002)]",4.0
"[Left board (Library of Congress, 4318_001)]",4.0
"[Left board (Library of Congress, 4265)]",4.0
"[Left board (Library of Congress, 4247)]",4.0
"[Left board (Library of Congress, 4240)]",4.0
"[Left board (Library of Congress, 4165)]",4.0
"[Left board (Library of Congress, 4053)]",4.0
"[Left board (Library of Congress, 3995)]",4.0
"[Left board (Library of Congress, 3968)]",4.0
"[Left board (Library of Congress, 3967)]",4.0
"[Left board (Library of Congress, 3966)]",4.0
"[Left board (Library of Congress, 3928)]",4.0
"[Left board (Library of Congress, 3824)]",4.0
"[Left board (Library of Congress, 3819)]",4.0
"[Left board (Library of Congress, 3494)]",4.0
"[Left board (Library of Congress, 2966)]",4.0
"[Left board (Library of Congress, 2247)]",4.0
"[Left board (Library of Congress, 1697)]",4.0
"[Cover (Library of Congress, 4318_006)]",4.0
"[Cover (Library of Congress, 4247)]",4.0
"[Cover (Library of Congress, 4165)]",4.0
"[Cover (Library of Congress, 4164)]",4.0
"[Cover (Library of Congress, 3994)]",4.0
"[Cover (Library of Congress, 3928)]",4.0
"[Cover (Library of Congress, 3927)]",4.0
"[Cover (Library of Congress, 1697)]",4.0
"[Conservation assessment (Library of Congress, 4539_003)]",4.0
"[Conservation assessment (Library of Congress, 4388_101_01)]",4.0
"[Conservation assessment (Library of Congress, 4380)]",4.0
"[Conservation assessment (Library of Congress, 4357_005_001)]",4.0
"[Conservation assessment (Library of Congress, 4347_3)]",4.0
"[Conservation assessment (Library of Congress, 4341)]",4.0
"[Conservation assessment (Library of Congress, 4318_006)]",4.0
"[Conservation assessment (Library of Congress, 4318_005)]",4.0
"[Conservation assessment (Library of Congress, 4318_003)]",4.0
"[Conservation assessment (Library of Congress, 4318_002)]",4.0
"[Conservation assessment (Library of Congress, 4318_001)]",4.0
"[Conservation assessment (Library of Congress, 4265)]",4.0
"[Conservation assessment (Library of Congress, 4240)]",4.0
"[Conservation assessment (Library of Congress, 4165)]",4.0
"[Conservation assessment (Library of Congress, 4164)]",4.0
"[Conservation assessment (Library of Congress, 3995)]",4.0
"[Conservation assessment (Library of Congress, 3994)]",4.0
"[Conservation assessment (Library of Congress, 3968)]",4.0
"[Conservation assessment (Library of Congress, 3967)]",4.0
"[Conservation assessment (Library of Congress, 3966)]",4.0
"[Conservation assessment (Library of Congress, 3927)]",4.0
"[Conservation assessment (Library of Congress, 3819)]",4.0
"[Conservation assessment (Library of Congress, 3674)]",4.0
"[Conservation assessment (Library of Congress, 3494)]",4.0
"[Conservation assessment (Library of Congress, 2966)]",4.0
"[Textblock (Library of Congress, 4539_003)]",3.0
"[Textblock (Library of Congress, 4388_101_01)]",3.0
"[Textblock (Library of Congress, 4380)]",3.0
"[Textblock (Library of Congress, 4357_005_001)]",3.0
"[Textblock (Library of Congress, 4265)]",3.0
"[Textblock (Library of Congress, 4247)]",3.0
"[Textblock (Library of Congress, 4240)]",3.0
"[Textblock (Library of Congress, 3968)]",3.0
"[Textblock (Library of Congress, 3967)]",3.0
"[Textblock (Library of Congress, 3928)]",3.0
"[Textblock (Library of Congress, 3819)]",3.0
"[Textblock (Library of Congress, 3027)]",3.0
"[Right board (Library of Congress, 3027)]",3.0
"[Modification of Library of Congress, 4388_101_01]",3.0
"[Modification of Library of Congress, 4357_005_001]",3.0
"[Modification of Library of Congress, 4265]",3.0
"[Modification of Library of Congress, 4247]",3.0
"[Modification of Library of Congress, 4247]",3.0
"[Modification of Library of Congress, 4240]",3.0
"[Modification of Library of Congress, 4164]",3.0
"[Modification of Library of Congress, 4053]",3.0
"[Modification of Library of Congress, 4053]",3.0
"[Modification of Library of Congress, 4053]",3.0
"[Modification of Library of Congress, 3995]",3.0
"[Modification of Library of Congress, 3994]",3.0
"[Modification of Library of Congress, 3994]",3.0
"[Modification of Library of Congress, 3968]",3.0
"[Modification of Library of Congress, 3968]",3.0
"[Modification of Library of Congress, 3968]",3.0
"[Modification of Library of Congress, 3968]",3.0
"[Modification of Library of Congress, 3967]",3.0
"[Modification of Library of Congress, 3966]",3.0
"[Modification of Library of Congress, 3929]",3.0
"[Modification of Library of Congress, 3929]",3.0
"[Modification of Library of Congress, 3928]",3.0
"[Modification of Library of Congress, 3928]",3.0
"[Modification of Library of Congress, 3928]",3.0
"[Modification of Library of Congress, 3824]",3.0
"[Modification of Library of Congress, 3824]",3.0
"[Modification of Library of Congress, 3824]",3.0
"[Modification of Library of Congress, 3027]",3.0
"[Modification of Library of Congress, 3027]",3.0
"[Modification of Library of Congress, 2966]",3.0
"[Modification of Library of Congress, 2966]",3.0
"[Modification of Library of Congress, 1657_001]",3.0
"[Left board (Library of Congress, 3027)]",3.0
"[Covering material (Library of Congress, 3027)]",3.0
"[Cover (Library of Congress, 4347_3)]",3.0
"[Cover (Library of Congress, 4341)]",3.0
"[Cover (Library of Congress, 4318_005)]",3.0
"[Cover (Library of Congress, 4318_003)]",3.0
"[Cover (Library of Congress, 4318_002)]",3.0
"[Cover (Library of Congress, 4318_001)]",3.0
"[Cover (Library of Congress, 4265)]",3.0
"[Cover (Library of Congress, 4240)]",3.0
"[Cover (Library of Congress, 3967)]",3.0
"[Cover (Library of Congress, 3966)]",3.0
"[Cover (Library of Congress, 1657_001)]",3.0
"[Bookblock edges (Library of Congress, 4347_3)]",3.0
"[Bookblock edges (Library of Congress, 4240)]",3.0
"[Bookblock edges (Library of Congress, 3967)]",3.0
"[Bookblock edges (Library of Congress, 3966)]",3.0
"[Bookblock edges (Library of Congress, 3824)]",3.0
"[Bookblock edges (Library of Congress, 3027)]",3.0
"[Bookblock edges (Library of Congress, 1657_001)]",3.0
"[Addition to Library of Congress, 529]",3.0
"[Addition to Library of Congress, 4539_003]",3.0
"[Addition to Library of Congress, 4357_005_001]",3.0
"[Addition to Library of Congress, 4341]",3.0
"[Addition to Library of Congress, 4318_005]",3.0
"[Addition to Library of Congress, 4318_003]",3.0
"[Addition to Library of Congress, 4318_002]",3.0
"[Addition to Library of Congress, 4318_001]",3.0
"[Addition to Library of Congress, 4265]",3.0
"[Addition to Library of Congress, 4247]",3.0
"[Addition to Library of Congress, 4165]",3.0
"[Addition to Library of Congress, 4053]",3.0
"[Addition to Library of Congress, 3967]",3.0
"[Addition to Library of Congress, 3966]",3.0
"[Addition to Library of Congress, 3928]",3.0
"[Addition to Library of Congress, 3824]",3.0
"[Addition to Library of Congress, 3674]",3.0
"[Addition to Library of Congress, 3027]",3.0
"[Addition to Library of Congress, 2966]",3.0
"[Addition to Library of Congress, 2247]",3.0
"[Textblock (Library of Congress, 4318_006)]",2.0
"[Textblock (Library of Congress, 4318_005)]",2.0
"[Textblock (Library of Congress, 4318_003)]",2.0
"[Textblock (Library of Congress, 4318_002)]",2.0
"[Textblock (Library of Congress, 4318_001)]",2.0
"[Textblock (Library of Congress, 4165)]",2.0
"[Textblock (Library of Congress, 4164)]",2.0
"[Textblock (Library of Congress, 3966)]",2.0
"[Textblock (Library of Congress, 3929)]",2.0
"[Sewing structure (Library of Congress, 529)]",2.0
"[Sewing structure (Library of Congress, 4539_003)]",2.0
"[Sewing structure (Library of Congress, 4388_101_01)]",2.0
"[Sewing structure (Library of Congress, 4380)]",2.0
"[Sewing structure (Library of Congress, 4357_005_001)]",2.0
"[Sewing structure (Library of Congress, 4347_3)]",2.0
"[Sewing structure (Library of Congress, 4341)]",2.0
"[Sewing structure (Library of Congress, 4318_006)]",2.0
"[Sewing structure (Library of Congress, 4318_005)]",2.0
"[Sewing structure (Library of Congress, 4318_003)]",2.0
"[Sewing structure (Library of Congress, 4318_002)]",2.0
"[Sewing structure (Library of Congress, 4318_001)]",2.0
"[Sewing structure (Library of Congress, 4265)]",2.0
"[Sewing structure (Library of Congress, 4247)]",2.0
"[Sewing structure (Library of Congress, 4240)]",2.0
"[Sewing structure (Library of Congress, 4165)]",2.0
"[Sewing structure (Library of Congress, 4164)]",2.0
"[Sewing structure (Library of Congress, 4053)]",2.0
"[Sewing structure (Library of Congress, 3995)]",2.0
"[Sewing structure (Library of Congress, 3994)]",2.0
"[Sewing structure (Library of Congress, 3968)]",2.0
"[Sewing structure (Library of Congress, 3967)]",2.0
"[Sewing structure (Library of Congress, 3966)]",2.0
"[Sewing structure (Library of Congress, 3929)]",2.0
"[Sewing structure (Library of Congress, 3928)]",2.0
"[Sewing structure (Library of Congress, 3927)]",2.0
"[Sewing structure (Library of Congress, 3824)]",2.0
"[Sewing structure (Library of Congress, 3819)]",2.0
"[Sewing structure (Library of Congress, 3674)]",2.0
"[Sewing structure (Library of Congress, 3494)]",2.0
"[Sewing structure (Library of Congress, 3027)]",2.0
"[Sewing structure (Library of Congress, 2966)]",2.0
"[Sewing structure (Library of Congress, 2687)]",2.0
"[Sewing structure (Library of Congress, 2561)]",2.0
"[Sewing structure (Library of Congress, 2247)]",2.0
"[Sewing structure (Library of Congress, 1697)]",2.0
"[Sewing structure (Library of Congress, 1657_001)]",2.0
"[Right board (Library of Congress, 529)]",2.0
"[Right board (Library of Congress, 4347_3)]",2.0
"[Right board (Library of Congress, 4164)]",2.0
"[Right board (Library of Congress, 3994)]",2.0
"[Right board (Library of Congress, 3929)]",2.0
"[Right board (Library of Congress, 3927)]",2.0
"[Right board (Library of Congress, 2687)]",2.0
"[Right board (Library of Congress, 1657_001)]",2.0
"[Removal from Library of Congress, 4380]",2.0
"[Removal from Library of Congress, 4341]",2.0
"[Removal from Library of Congress, 4341]",2.0
"[Removal from Library of Congress, 3994]",2.0
"[Removal from Library of Congress, 1657_001]",2.0
"[Previous repair (Library of Congress, 1657_001)]",2.0
"[Modification of Library of Congress, 529]",2.0
"[Modification of Library of Congress, 529]",2.0
"[Modification of Library of Congress, 529]",2.0
"[Modification of Library of Congress, 529]",2.0
"[Modification of Library of Congress, 4539_003]",2.0
"[Modification of Library of Congress, 4539_003]",2.0
"[Modification of Library of Congress, 4539_003]",2.0
"[Modification of Library of Congress, 4388_101_01]",2.0
"[Modification of Library of Congress, 4388_101_01]",2.0
"[Modification of Library of Congress, 4388_101_01]",2.0
"[Modification of Library of Congress, 4388_101_01]",2.0
"[Modification of Library of Congress, 4380]",2.0
"[Modification of Library of Congress, 4380]",2.0
"[Modification of Library of Congress, 4380]",2.0
"[Modification of Library of Congress, 4357_005_001]",2.0
"[Modification of Library of Congress, 4357_005_001]",2.0
"[Modification of Library of Congress, 4357_005_001]",2.0
"[Modification of Library of Congress, 4357_005_001]",2.0
"[Modification of Library of Congress, 4347_3]",2.0
"[Modification of Library of Congress, 4347_3]",2.0
"[Modification of Library of Congress, 4347_3]",2.0
"[Modification of Library of Congress, 4347_3]",2.0
"[Modification of Library of Congress, 4347_3]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4341]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_006]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_005]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_003]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_002]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4318_001]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4265]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4247]",2.0
"[Modification of Library of Congress, 4240]",2.0
"[Modification of Library of Congress, 4240]",2.0
"[Modification of Library of Congress, 4240]",2.0
"[Modification of Library of Congress, 4240]",2.0
"[Modification of Library of Congress, 4165]",2.0
"[Modification of Library of Congress, 4165]",2.0
"[Modification of Library of Congress, 4165]",2.0
"[Modification of Library of Congress, 4165]",2.0
"[Modification of Library of Congress, 4164]",2.0
"[Modification of Library of Congress, 4164]",2.0
"[Modification of Library of Congress, 4053]",2.0
"[Modification of Library of Congress, 4053]",2.0
"[Modification of Library of Congress, 4053]",2.0
"[Modification of Library of Congress, 4053]",2.0
"[Modification of Library of Congress, 4053]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3995]",2.0
"[Modification of Library of Congress, 3994]",2.0
"[Modification of Library of Congress, 3994]",2.0
"[Modification of Library of Congress, 3994]",2.0
"[Modification of Library of Congress, 3994]",2.0
"[Modification of Library of Congress, 3968]",2.0
"[Modification of Library of Congress, 3968]",2.0
"[Modification of Library of Congress, 3968]",2.0
"[Modification of Library of Congress, 3968]",2.0
"[Modification of Library of Congress, 3968]",2.0
"[Modification of Library of Congress, 3967]",2.0
"[Modification of Library of Congress, 3967]",2.0
"[Modification of Library of Congress, 3967]",2.0
"[Modification of Library of Congress, 3966]",2.0
"[Modification of Library of Congress, 3966]",2.0
"[Modification of Library of Congress, 3966]",2.0
"[Modification of Library of Congress, 3929]",2.0
"[Modification of Library of Congress, 3929]",2.0
"[Modification of Library of Congress, 3929]",2.0
"[Modification of Library of Congress, 3928]",2.0
"[Modification of Library of Congress, 3928]",2.0
"[Modification of Library of Congress, 3928]",2.0
"[Modification of Library of Congress, 3928]",2.0
"[Modification of Library of Congress, 3928]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3927]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3824]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3819]",2.0
"[Modification of Library of Congress, 3674]",2.0
"[Modification of Library of Congress, 3674]",2.0
"[Modification of Library of Congress, 3674]",2.0
"[Modification of Library of Congress, 3674]",2.0
"[Modification of Library of Congress, 3674]",2.0
"[Modification of Library of Congress, 3494]",2.0
"[Modification of Library of Congress, 3494]",2.0
"[Modification of Library of Congress, 3494]",2.0
"[Modification of Library of Congress, 3494]",2.0
"[Modification of Library of Congress, 3494]",2.0
"[Modification of Library of Congress, 3494]",2.0
