label,incomingEdges
[dataset],52.0
"[Collection Item: Travels in New-England and New-York, volume 4]",26.0
"[Collection Item: Travels in New-England and New-York, volume 2]",26.0
"[Collection Item: Travels in New-England and New-York, volume 1]",26.0
[Collection Item: The works of that late most exc ...],24.0
[Collection Item: The seasons],23.0
"[Collection Item: The works of Alexander Pope, es ..., volume 1]",21.0
"[Collection Item: L'histoire de Bretaigne, des ro ...]",21.0
[Collection Item: Andreae Alciati Emblematum font ...],21.0
"[Collection Item: ... The catalogue of honor; or, ...]",21.0
[Pretreatment Examination: Condition Assessment],20.0
[Collection Item: Menorat ha-maʼor],20.0
[Pretreatment Examination: Condition Assessment],19.0
"[Collection Item: The English reader, or, Pieces  ...]",19.0
"[Collection Item: Exotic flora, containing figure ..., volume 3]",19.0
[Collection Item: An account of the European sett ...],19.0
[Collection Item: The rhetorical reader : consist ...],18.0
[Collection Item: The annales of Cornelius Tacitu ...],18.0
"[Collection Item: Sixteen sermons, preached upon  ...]",18.0
[Collection Item: Sefer Shaʻare Tsiyon : eleh div ...],18.0
[Collection Item: Oculus artificialis teledioptri ...],18.0
[Pretreatment Examination: Condition Assessment],17.0
[Pretreatment Examination: Condition Assessment],17.0
"[Collection Item: Williams' visits; or, Three hou ...]",17.0
[Collection Item: The orations of Aeschines again ...],17.0
[Collection Item: The new practical navigator : b ...],17.0
[Collection Item: La vie et les oeuvres spirituel ...],17.0
[Collection Item: Introduction to the English rea ...],17.0
[Collection Item: A suruay of London : contayning ...],17.0
[Pretreatment Examination: Condition Assessment],16.0
[Pretreatment Examination: Condition Assessment],16.0
[Component Application],16.0
[Collection Item: In M. Tullii Ciceronis Oratione ...],16.0
[Collection Item: Illustrations of the birds of C ...],16.0
[Collection Item: Atlas coelestis],16.0
[Pretreatment Examination: Condition Assessment],15.0
[Pretreatment Examination: Condition Assessment],15.0
[Collection Item: A New General and Universal Atl ...],15.0
[Pretreatment Examination: Condition Assessment],14.0
[Pretreatment Examination: Condition Assessment],14.0
[Pretreatment Examination: Condition Assessment],14.0
[Component Application],14.0
[Component Application],14.0
[Component Application],14.0
[Collection Item: Publii Virgilii Maronis Bucolic ...],14.0
"[Collection Item: Mission music : choir book, 177 ...]",14.0
[Collection Item: Hai tou Anakreontos ōdai = The  ...],14.0
[Collection Item: A fifth reader],14.0
[Pretreatment Examination: Condition Assessment],13.0
[Pretreatment Examination: Condition Assessment],13.0
[Pretreatment Examination: Condition Assessment],13.0
[Pretreatment Examination: Condition Assessment],13.0
"[Collection Item: The American universal geograph ..., volume 2]",13.0
[Collection Item: Poems on several occasions],13.0
"[Collection Item: English synonymes, with copious ...]",13.0
[Collection Item: De ortv ac progressv artis typo ...],13.0
[Pretreatment Examination: Condition Assessment],12.0
[Pretreatment Examination: Condition Assessment],12.0
[Pretreatment Examination: Condition Assessment],12.0
[Component Application],12.0
[Collection Item: The works of Sir William Davena ...],12.0
[Collection Item: The history of the province of  ...],12.0
[Collection Item: The children's friend : consist ...],12.0
"[Collection Item: The bombardier, and pocket gunn ...]",12.0
[Collection Item: The Antiquarian repertory; a mi ...],12.0
[Collection Item: P. Terentii Comœdiæ sex],12.0
"[Collection Item: Galerie française, ou Collectio ...]",12.0
[Collection Item: Dyalogus doctoris venerabilis M ...],12.0
[production of covering material],11.0
[production of covering material],11.0
[Pretreatment Examination: Condition Assessment],11.0
[Pretreatment Examination: Condition Assessment],11.0
[Pretreatment Examination: Condition Assessment],11.0
[Pretreatment Examination: Condition Assessment],11.0
[Pretreatment Examination: Condition Assessment],11.0
[Collection Item: The poems of Gray : adorned wit ...],11.0
[Collection Item: Poly-Olbion],11.0
[Collection Item: La destruction de l'aristocrati ...],11.0
[Collection Item: Commentariorvm in Ioannis Apoca ...],11.0
[Collection Item: Analysis of the principles of r ...],11.0
[Collection Item: A dictionary of the English lan ...],11.0
[Collection Item: A compendious system of astrono ...],11.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of hinge],10.0
[production of covering material],10.0
[production of covering material],10.0
[production of covering material],10.0
[boards],10.0
[Pretreatment Examination: Condition Assessment],10.0
[Pretreatment Examination: Condition Assessment],10.0
[Pretreatment Examination: Condition Assessment],10.0
[Pretreatment Examination: Condition Assessment],10.0
[Component Application],10.0
[Component Application],10.0
[Component Application],10.0
[Collection Item: Spencer redivivus; containing t ...],10.0
[production of hinge extensions],9.0
[production of hinge extensions],9.0
[production of hinge extensions],9.0
[production of hinge extensions],9.0
[production of hinge extensions],9.0
[production of hinge],9.0
[production of hinge],9.0
[production of hinge],9.0
[production of covering material],9.0
[boards],9.0
[boards],9.0
[boards],9.0
[Pretreatment Examination: Condition Assessment],9.0
