name,incomingEdges
"[Main conservation event (The National Archives, DL 30/603/2)]",28.0
"[Main conservation event (The National Archives, ADM 1/5438)]",27.0
"[Main conservation event (The National Archives, SP 104/171)]",26.0
"[Main conservation event (The National Archives, CRIM 10/28)]",26.0
"[Main conservation event (The National Archives, WO 69/905)]",25.0
"[Main conservation event (The National Archives, CO 31/1)]",24.0
"[Main conservation event (The National Archives, ADM 37/5039)]",24.0
"[Main conservation event (The National Archives, WO 381/11)]",23.0
"[Main conservation event (The National Archives, SP 24/18)]",23.0
"[Main conservation event (The National Archives, HCA 13/78)]",23.0
"[Main conservation event (The National Archives, ADM 42/681)]",23.0
"[Main conservation event (The National Archives, E 405/550)]",22.0
"[Main conservation event (The National Archives, E 36/29)]",22.0
"[Main conservation event (The National Archives, T 20/1220)]",21.0
"[Main conservation event (The National Archives, SP 44/335)]",21.0
"[Main conservation event (The National Archives, SP 105/207)]",21.0
"[Main conservation event (The National Archives, PC 6/15)]",21.0
"[Main conservation event (The National Archives, B 3/5243)]",21.0
"[Main conservation event (The National Archives, FO 802/607)]",20.0
"[Main conservation event (The National Archives, E 36/2)]",20.0
"[Main conservation event (The National Archives, ADM 139/1027)]",20.0
"[Main conservation event (The National Archives, FO 802/614)]",19.0
"[Main conservation event (The National Archives, ADM 139/1023)]",18.0
"[Bookblock (The National Archives, SP 24/18)]",18.0
"[Main conservation event (The National Archives, SP 91/14)]",17.0
"[Main conservation event (The National Archives, RAIL 950/17)]",17.0
"[Main conservation event (The National Archives, RAIL 527/1429)]",17.0
"[Main conservation event (The National Archives, SP 104/143)]",16.0
"[Main conservation event (The National Archives, FO 97/341)]",16.0
"[Main conservation event (The National Archives, CO 299/89)]",16.0
"[Main conservation event (The National Archives, ASSI 41/4)]",16.0
"[Main conservation event (The National Archives, ADM 55/32)]",16.0
"[Main conservation event (The National Archives, SP 71/19)]",15.0
"[Main conservation event (The National Archives, ADM 139/1025)]",15.0
"[Main conservation event (The National Archives, ADM 1/5437)]",15.0
"[Bookblock (The National Archives, ADM 139/1025)]",15.0
"[Main conservation event (The National Archives, HCA 13/56)]",14.0
"[Main conservation event (The National Archives, ADM 55/107)]",14.0
"[Bookblock (The National Archives, T 20/1220)]",14.0
"[Bookblock (The National Archives, SP 44/335)]",14.0
"[Bookblock (The National Archives, SP 104/171)]",14.0
"[Bookblock (The National Archives, E 405/550)]",14.0
"[Bookblock (The National Archives, E 36/29)]",14.0
"[Bookblock (The National Archives, DL 30/603/2)]",14.0
"[Bookblock (The National Archives, CRIM 10/28)]",14.0
"[Bookblock (The National Archives, CO 5/904)]",14.0
"[Bookblock (The National Archives, ASSI 41/4)]",14.0
"[Bookblock (The National Archives, ADM 37/5039)]",14.0
"[Bookblock (The National Archives, ADM 139/1027)]",14.0
"[Bookblock (The National Archives, ADM 139/1023)]",14.0
"[Bookblock (The National Archives, ADM 1/5438)]",14.0
"[Book (The National Archives, SP 105/207)]",14.0
"[Book (The National Archives, RAIL 950/17)]",14.0
"[Book (The National Archives, ADM 37/5039)]",14.0
"[Main conservation event (The National Archives, CO 5/904)]",13.0
"[Main conservation event (The National Archives, ADM 1/2628)]",13.0
"[Book (The National Archives, PC 6/15)]",13.0
"[Book (The National Archives, CRIM 10/28)]",13.0
"[Book (The National Archives, CO 31/1)]",13.0
"[Book (The National Archives, ADM 42/681)]",13.0
"[Book (The National Archives, ADM 223/31)]",13.0
"[Main conservation event (The National Archives, LC 5/156)]",12.0
"[Main conservation event (The National Archives, ADM 223/31)]",12.0
"[Book (The National Archives, WO 69/905)]",12.0
"[Book (The National Archives, T 20/1220)]",12.0
"[Book (The National Archives, SP 91/14)]",12.0
"[Book (The National Archives, SP 44/335)]",12.0
"[Book (The National Archives, SP 104/143)]",12.0
"[Book (The National Archives, HCA 13/78)]",12.0
"[Book (The National Archives, DL 30/603/2)]",12.0
"[Book (The National Archives, B 3/5243)]",12.0
"[Book (The National Archives, ADM 139/1027)]",12.0
"[Book (The National Archives, ADM 1/5438)]",12.0
"[Book (The National Archives, ADM 1/5437)]",12.0
"[Main conservation event (The National Archives, E 315/128)]",11.0
"[Book (The National Archives, WO 381/11)]",11.0
"[Book (The National Archives, SP 71/19)]",11.0
"[Book (The National Archives, SP 24/18)]",11.0
"[Book (The National Archives, SP 104/171)]",11.0
"[Book (The National Archives, RAIL 527/1429)]",11.0
"[Book (The National Archives, PRO 30/69/1186)]",11.0
"[Book (The National Archives, LC 5/156)]",11.0
"[Book (The National Archives, HCA 13/56)]",11.0
"[Book (The National Archives, FO 97/341)]",11.0
"[Book (The National Archives, FO 802/614)]",11.0
"[Book (The National Archives, FO 802/607)]",11.0
"[Book (The National Archives, E 405/550)]",11.0
"[Book (The National Archives, E 36/29)]",11.0
"[Book (The National Archives, E 36/2)]",11.0
"[Book (The National Archives, E 315/128)]",11.0
"[Book (The National Archives, CRES 40/25A)]",11.0
"[Book (The National Archives, CO 473/9)]",11.0
"[Book (The National Archives, CO 299/89)]",11.0
"[Book (The National Archives, ASSI 41/4)]",11.0
"[Book (The National Archives, ADM 55/107)]",11.0
"[Bookblock (The National Archives, WO 69/905)]",10.0
"[Bookblock (The National Archives, SP 91/14)]",10.0
"[Bookblock (The National Archives, SP 105/207)]",10.0
"[Bookblock (The National Archives, PRO 30/69/1186)]",10.0
"[Bookblock (The National Archives, PC 6/15)]",10.0
"[Bookblock (The National Archives, HCA 13/78)]",10.0
"[Bookblock (The National Archives, FO 802/614)]",10.0
"[Bookblock (The National Archives, FO 802/607)]",10.0
"[Bookblock (The National Archives, E 36/2)]",10.0
"[Bookblock (The National Archives, ADM 55/32)]",10.0
